Current Board,Optimal Move
000000000,200000000
000000001,000020001
000000002,000010002
000000010,020000010
000000012,020000012
000000020,010000020
000000021,200000021
000000100,000020100
000000102,020000102
000000112,002000112
000000120,200000120
000000121,000020121
000000122,010000122
000000200,000100200
000000201,020000201
000000210,020000210
000000211,200000211
000000212,100000212
000000221,010000221
000001000,002001000
000001002,020001002
000001012,020001012
000001020,200001020
000001021,002001021
000001022,001001022
000001102,000201102
000001120,000021120
000001122,002001122
000001200,020001200
000001201,002001201
000001202,010001202
000001210,200001210
000001212,020001212
000001220,010001220
000001221,200001221
000002000,000102000
000002001,200002001
000002010,200002010
000002011,000002211
000002012,000002112
000002021,010002021
000002100,200002100
000002101,000002121
000002102,000002112
000002110,000002112
000002112,200002112
000002120,010002120
000002121,200002121
000002201,000102201
000002210,000102210
000002211,020002211
000010000,200010000
000010002,200010002
000010012,020010012
000010020,020010020
000010021,200010021
000010022,010010022
000010102,002010102
000010120,002010120
000010122,000210122
000010200,020010200
000010201,200010201
000010202,100010202
000010210,020010210
000010212,020010212
000010220,010010220
000010221,000012221
000011002,000211002
000011020,000211020
000011022,200011022
000011122,200011122
000011200,000211200
000011202,200011202
000011212,200011212
000011220,200011220
000011221,200011221
000011222,100011222
000012000,000212000
000012001,200012001
000012002,000112002
000012010,020012010
000012012,200012012
000012020,010012020
000012021,200012021
000012100,002012100
000012102,200012102
000012112,002012112
000012120,000212120
000012121,200012121
000012122,100012122
000012200,000112200
000012201,000012221
000012210,020012210
000012211,200012211
000012212,100012212
000012221,010012221
000020000,100020000
000020001,200020001
000020010,020020010
000020011,000020211
000020012,010020012
000020021,100020021
000020100,002020100
000020101,000020121
000020102,000021102
000020110,000020112
000020112,020020112
000020120,001020120
000020121,200020121
000020201,000120201
000020210,010020210
000020211,200020211
000021000,000221000
000021001,002021001
000021002,000121002
000021010,002021010
000021012,020021012
000021020,000121020
000021021,200021021
000021100,020021100
000021102,020021102
000021112,200021112
000021120,200021120
000021121,020021121
000021122,001021122
000021200,000121200
000021201,200021201
000021210,200021210
000021211,002021211
000021212,010021212
000021221,100021221
000022001,100022001
000022010,010022010
000022011,200022011
000022100,010022100
000022101,200022101
000022110,200022110
000022111,000222111
000022112,010022112
000022121,001022121
000022211,100022211
000100000,200100000
000100002,020100002
000100012,002100012
000100020,200100020
000100021,000120021
000100022,010100022
000100102,200100102
000100120,200100120
000100122,200100122
000100200,200100200
000100201,000120201
000100202,100100202
000100210,020100210
000100212,020100212
000100220,100100220
000100221,200100221
000101002,000121002
000101020,000121020
000101022,200101022
000101122,200101122
000101200,000121200
000101202,200101202
000101212,000121212
000101220,200101220
000101221,200101221
000101222,100101222
000102000,200102000
000102001,200102001
000102002,000112002
000102010,200102010
000102012,200102012
000102020,010102020
000102021,200102021
000102100,200102100
000102102,200102102
000102112,002102112
000102120,200102120
000102121,200102121
000102122,010102122
000102200,100102200
000102201,200102201
000102210,200102210
000102211,200102211
000102212,100102212
000102221,010102221
000110002,000112002
000110020,000112020
000110022,200110022
000110122,200110122
000110200,000112200
000110202,200110202
000110212,200110212
000110220,200110220
000110221,200110221
000110222,100110222
000111022,200111022
000111202,200111202
000111220,200111220
000111222,200111222
000112000,200112000
000112002,200112002
000112012,002112012
000112020,200112020
000112021,200112021
000112022,010112022
000112102,002112102
000112120,200112120
000112122,200112122
000112200,200112200
000112201,200112201
000112202,100112202
000112210,020112210
000112212,200112212
000112220,010112220
000112221,200112221
000120000,000122000
000120001,200120001
000120002,000121002
000120010,200120010
000120012,020120012
000120020,000121020
000120021,200120021
000120100,200120100
000120102,020120102
000120112,200120112
000120120,200120120
000120121,020120121
000120122,010120122
000120200,000121200
000120201,200120201
000120210,200120210
000120211,002120211
000120212,010120212
000120221,100120221
000121000,200121000
000121002,020121002
000121012,200121012
000121020,200121020
000121021,020121021
000121022,010121022
000121102,200121102
000121120,020121120
000121122,002121122
000121200,200121200
000121201,002121201
000121202,100121202
000121210,002121210
